,j
Q-1948.Folded,1
Bergen-[18--?]ff.Fl.O,1
B A-1856b.Fl,1
PAMP Channing-3,1
B P-[1833]a.Fl,1
1978.153,1
B A-[19--?]e.Fl,1
ARC.269,1
PAMP Latrobe-1,1
B P-[1873].Fl,1
1973.087,1
1973.291,1
1974.044,1
Q-1921.Fl,1
B PP-[1867?].Fl,1
1977.255,1
NYS-1756.Fl.RA,1
1977.198,1
1992.006,1
PAMP Blodgett-1,1
1977.625,1
Q-1840.Fl,1
"D.P.W.-1:24,000 (Flushing Quad).R",1
B P-1870 (1943)b.Fl,1
PAMP DonnellRS-1,1
NYC-1860a.Fl,1
PAMP Meigs-1,1
M-[1886?].Fl,1
B P-[1848]a.Fl c.2,1
B P-[1877].Fl.RA,1
PAMP BRFAL-9,1
1973.127,1
B P-[183-?].Fl,1
IPOF F128.9.N4 W48 2002,1
PAMP Sumner-6,1
PAMP Bay-1,1
B A-[1940?].Fl,1
B P-[18--?]g.Fl,1
PAMP Sumner-24,1
Bergen-[1892?]f.Fl,1
"USGS-1:62,500 (Port Jervis).Fl",1
1986.042,1
PAMP Dorr-1,1
B P-[189-?]a.Fl.Folio,1
PAMP Durkee-1,1
M-1817 (1855?).Fl,1
NYC-[186-?]a.Fl,1
1992.015,1
Bergen-[185-?].Fl,1
B A-1995.Fl,1
L.I.-[189-?]a.Fl,1
B A-1911.Fd.RA,1
PAMP CDAS-4,1
PAMP FES-1,1
PAMP Giddings-4,1
1973.175,1
L.I.-1905c.Fl,1
PAMP Cheever-3,1
1986.026,1
Bergen-1887b.Fl,1
B P-[189-?]e.Fl,1
PAMP Fulton-2,1
1973.113,1
Bergen-1886.Fl,1
B P-[1869]a.Fl c.2,1
V1987.011,1
1978.021,1
ARC.216,1
V1988.025,1
PAMP PeabodyE-2,1
B A-2011b.Fl,1
NYS-1856.Fl,1
PAMP ClayH-7,1
V1974.036,1
(99) World-1952.A,1
L.I.-[1873]l.Fl c.2,1
N. Amer.-1621 (1877).Fl,1
2015.004,1
PAMP LincolnA-2,1
Bergen-1901.Fl,1
PAMP AmCS-8,1
1977.545,1
N.J. 1890a.Fl,1
1973.183,1
ARC.009,1
ARC.019,1
B P-[1865?].Fl.F,1
B P-1836.Fl.Folio,1
L.I.-1929.Fl,1
Bergen-[185-?]j.Fl,1
Pierrepont-[18--?]h.Fl,1
B A-1884.Fl,1
PAMP ClevelandWN-1,1
L.I.-[1845?].Fl,1
ARC.198,1
1977.286,1
B P-1884.Fl,1
PAMP Dickinson-1,1
Bergen-1887a.Fl,1
1978.141,1
"D.P.W.-1:24,000 (Southampton Quad).R",1
1986.050,1
Bergen-1889a.Fl,1
PAMP Document-2,1
PAMP Child-1,1
US-[1892?].Fl,1
Q-1913.Fl.Folio,1
L.I.-1927.Fl.Folio,1
Bergen-[1892?]a.Fl,1
1977.365,1
1985.023,1
PAMP HowSB-1,1
NYS-1886.Fl,1
1978.137,1
"D.P.W.-1:24,000 (Lloyd Harbor Quad).R",1
1977.406,1
1985.048,1
ARC.039,1
1985.021,1
1977.074,1
2012.002,1
Bergen-1890.Fl,1
NYS-1894a.Fl,1
NYC-1830.Fl,1
1977.437,1
Lefferts QP36.W18,1
ARC.202,1
ARC.125,1
PAMP SargentFW-1,1
PAMP Talmage-1,1
1974.179,1
Pierrepont-[1885?].Fl,1
PAMP Farnsworth-1,1
